iter	Passed	Remaining
0	33	33615
1	75	37672
2	107	35729
3	139	34621
4	166	33091
5	202	33570
6	230	32706
7	270	33482
8	310	34153
9	340	33718
10	366	32966
11	399	32878
12	425	32331
13	456	32158
14	497	32690
15	532	32721
16	561	32463
17	595	32460
18	633	32690
19	663	32491
20	698	32546
21	725	32252
22	755	32075
23	791	32179
24	817	31868
25	857	32112
26	893	32202
27	922	32008
28	960	32148
29	1001	32369
30	1034	32336
31	1073	32465
32	1108	32469
33	1138	32360
34	1169	32239
35	1196	32043
36	1242	32332
37	1269	32145
38	1310	32281
39	1342	32220
40	1376	32201
41	1412	32218
42	1440	32070
43	1477	32097
44	1511	32078
45	1536	31859
46	1567	31773
47	1607	31886
48	1649	32009
49	1683	31993
50	1711	31849
51	1737	31667
52	1764	31534
53	1799	31528
54	1832	31484
55	1863	31415
56	1889	31261
57	1931	31363
58	1958	31231
59	1981	31050
60	2013	30999
61	2054	31088
62	2097	31199
63	2126	31100
64	2161	31097
65	2203	31184
66	2240	31198
67	2283	31299
68	2327	31400
69	2368	31468
70	2409	31531
71	2451	31600
72	2488	31606
73	2532	31684
74	2562	31606
75	2591	31506
76	2632	31555
77	2661	31455
78	2704	31533
79	2750	31629
80	2792	31686
81	2836	31755
82	2878	31806
83	2924	31893
84	2969	31963
85	2998	31866
86	3027	31769
87	3066	31775
88	3091	31648
89	3132	31673
90	3163	31595
91	3200	31585
92	3231	31515
93	3271	31533
94	3313	31563
95	3350	31554
96	3375	31421
97	3415	31439
98	3444	31346
99	3485	31366
100	3513	31275
101	3552	31278
102	3593	31291
103	3620	31188
104	3649	31107
105	3688	31108
106	3729	31128
107	3757	31034
108	3796	31036
109	3837	31048
110	3865	30957
111	3903	30952
112	3928	30838
113	3968	30846
114	4012	30875
115	4038	30775
116	4067	30693
117	4093	30594
118	4135	30617
119	4168	30572
120	4208	30574
121	4248	30572
122	4288	30575
123	4326	30562
124	4364	30553
125	4402	30539
126	4443	30548
127	4485	30556
128	4525	30557
129	4564	30547
130	4602	30533
131	4630	30448
132	4671	30454
133	4701	30382
134	4748	30427
135	4790	30433
136	4830	30426
137	4866	30395
138	4911	30422
139	4949	30406
140	4994	30426
141	5043	30472
142	5087	30489
143	5130	30497
144	5172	30501
145	5202	30430
146	5247	30449
147	5289	30450
148	5330	30445
149	5370	30435
150	5411	30429
151	5454	30430
152	5486	30374
153	5528	30371
154	5575	30395
155	5635	30490
156	5691	30558
157	5748	30636
158	5808	30723
159	5852	30725
160	5893	30714
161	5932	30688
162	5968	30647
163	5995	30563
164	6039	30564
165	6076	30528
166	6112	30489
167	6149	30456
168	6188	30428
169	6226	30401
170	6268	30387
171	6308	30367
172	6348	30349
173	6377	30273
174	6413	30234
175	6454	30218
176	6495	30202
177	6537	30188
178	6577	30169
179	6617	30148
180	6658	30126
181	6698	30107
182	6743	30107
183	6778	30060
184	6822	30057
185	6862	30034
186	6906	30028
187	6947	30008
188	6990	29998
189	7033	29984
190	7070	29949
191	7112	29930
192	7153	29909
193	7194	29889
194	7234	29867
195	7277	29853
196	7320	29838
197	7359	29810
198	7399	29782
199	7441	29767
200	7470	29695
201	7507	29657
202	7550	29645
203	7593	29630
204	7635	29611
205	7667	29555
206	7713	29549
207	7755	29531
208	7797	29511
209	7838	29487
210	7878	29460
211	7920	29440
212	7951	29379
213	7992	29355
214	8037	29345
215	8077	29316
216	8118	29293
217	8155	29253
218	8196	29231
219	8237	29206
220	8279	29184
221	8320	29158
222	8360	29130
223	8402	29108
224	8444	29086
225	8485	29060
226	8527	29036
227	8567	29007
228	8608	28982
229	8638	28919
230	8677	28887
231	8716	28855
232	8758	28831
233	8798	28801
234	8837	28770
235	8873	28727
236	8914	28699
237	8946	28644
238	8986	28612
239	9030	28595
240	9074	28579
241	9118	28561
242	9160	28536
243	9198	28500
244	9238	28469
245	9279	28443
246	9319	28409
247	9359	28380
248	9400	28353
249	9440	28322
250	9481	28292
251	9520	28257
252	9556	28215
253	9588	28162
254	9631	28137
255	9671	28109
256	9704	28055
257	9743	28022
258	9783	27991
259	9822	27956
260	9859	27916
261	9899	27885
262	9938	27851
263	9980	27823
264	10020	27792
265	10064	27771
266	10109	27753
267	10148	27719
268	10189	27690
269	10230	27659
270	10269	27625
271	10309	27591
272	10348	27558
273	10389	27527
274	10428	27494
275	10471	27469
276	10512	27439
277	10548	27395
278	10590	27367
279	10633	27343
280	10673	27311
281	10711	27273
282	10750	27236
283	10793	27211
284	10830	27171
285	10867	27130
286	10907	27098
287	10946	27062
288	10985	27027
289	11019	26977
290	11056	26937
291	11095	26903
292	11134	26866
293	11171	26827
294	11213	26798
295	11247	26750
296	11283	26707
297	11323	26675
298	11353	26618
299	11391	26580
300	11430	26545
301	11467	26503
302	11506	26468
303	11544	26430
304	11582	26392
305	11626	26368
306	11677	26359
307	11722	26338
308	11765	26310
309	11805	26277
310	11841	26234
311	11880	26197
312	11909	26140
313	11944	26095
314	11982	26057
315	12022	26024
316	12060	25984
317	12101	25952
318	12150	25938
319	12188	25901
320	12222	25853
321	12260	25815
322	12298	25776
323	12334	25735
324	12369	25690
325	12405	25648
326	12444	25611
327	12471	25551
328	12509	25513
329	12546	25473
330	12583	25433
331	12617	25387
332	12655	25349
333	12693	25311
334	12733	25276
335	12773	25243
336	12812	25207
337	12855	25179
338	12897	25148
339	12939	25118
340	12980	25085
341	13022	25054
342	13055	25007
343	13098	24978
344	13140	24947
345	13184	24921
346	13225	24888
347	13265	24853
348	13306	24821
349	13347	24788
350	13380	24741
351	13420	24705
352	13459	24669
353	13501	24638
354	13540	24601
355	13580	24567
356	13625	24540
357	13676	24525
358	13708	24475
359	13740	24428
360	13779	24391
361	13817	24352
362	13857	24318
363	13898	24284
364	13933	24240
365	13971	24201
366	14016	24174
367	14057	24142
368	14099	24111
369	14140	24076
370	14186	24052
371	14232	24026
372	14274	23994
373	14316	23963
374	14357	23929
375	14391	23883
376	14421	23831
377	14461	23796
378	14497	23754
379	14535	23716
380	14572	23676
381	14614	23643
382	14652	23605
383	14692	23569
384	14729	23528
385	14755	23470
386	14788	23424
387	14830	23391
388	14866	23349
389	14904	23312
390	14944	23276
391	14983	23239
392	15022	23203
393	15059	23162
394	15097	23124
395	15134	23084
396	15175	23049
397	15215	23013
398	15257	22981
399	15299	22949
400	15341	22916
401	15382	22882
402	15414	22834
403	15452	22796
404	15493	22761
405	15532	22725
406	15573	22691
407	15614	22655
408	15656	22623
409	15696	22586
410	15739	22556
411	15780	22522
412	15822	22488
413	15856	22443
414	15897	22409
415	15936	22372
416	15973	22332
417	16015	22298
418	16055	22263
419	16097	22229
420	16135	22190
421	16175	22155
422	16214	22117
423	16259	22087
424	16298	22050
425	16333	22007
426	16374	21973
427	16414	21936
428	16456	21903
429	16496	21867
430	16538	21834
431	16581	21801
432	16623	21767
433	16667	21736
434	16710	21704
435	16743	21659
436	16784	21623
437	16814	21575
438	16852	21535
439	16892	21500
440	16933	21463
441	16967	21420
442	17013	21391
443	17051	21352
444	17090	21315
445	17128	21276
446	17169	21241
447	17211	21207
448	17249	21168
